,Job Title,Company Name,Salary Estimate,Job Position,Job Acedemic Requiremnt,Job Week Cutom Font,Job Time Cutom Font,Company Field,Company Size
142,数据分析实习生实习招聘-小米实习生招聘-实习僧," 
                        小米
                         “”",250-400/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
143,数据分析实习生实习招聘-YY直播实习生招聘-实习僧," 
                        YY直播
                         “”",100-150/天,广州,本科,5天／周,实习6个月,互联网/游戏/软件,500-2000
144,数据分析实习生实习招聘-携程旅行实习生招聘-实习僧," 
                        携程旅行
                         “”",150-200/天,上海,不限,5天／周,实习3个月,互联网/游戏/软件,2000以上
145,数据分析助理实习招聘-蔚来汽车实习生招聘-实习僧," 
                        蔚来汽车
                         “”",150/天,厦门,本科,4天／周,实习4个月,汽车/机械/制造,2000以上
146,数据分析实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                         “”",200/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
147,数据分析实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                         “”",200/天,北京,本科,5天／周,实习4个月,互联网/游戏/软件,2000以上
148,数据分析实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                         “”",200-250/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
149,数据分析实习生实习招聘-字节跳动实习生招聘-实习僧," 
                        字节跳动
                         “”",200-250/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
150,数据分析实习生实习招聘-博世中国实习生招聘-实习僧," 
                        博世中国
                         “”",100-150/天,上海,不限,3天／周,实习3个月,汽车/机械/制造,2000以上
151,数据分析实习生实习招聘-京东物流实习生招聘-实习僧," 
                        京东物流
                         “”",120-150/天,北京,本科,5天／周,实习3个月,交通/贸易/物流,2000以上
152,数据分析实习生实习招聘-天润新能实习生招聘-实习僧," 
                        天润新能
                         “”",100-150/天,北京,本科,3天／周,实习3个月,化工/能源/环保,2000以上
153,数据分析实习生实习招聘-mini peace实习生招聘-实习僧," 
                        mini peace
                         “”",100-120/天,宁波,本科,5天／周,实习6个月,快消/百货/批发/零售,500-2000
154,数据分析实习生实习招聘-智汇绿行实习生招聘-实习僧," 
                        智汇绿行
                         “”",120-200/天,北京,本科,3天／周,实习3个月,企业服务/咨询,15-50
155,数据分析实习生实习招聘-西部证券实习生招聘-实习僧," 
                        西部证券
                         “”",50-80/天,上海,本科,3天／周,实习3个月,金融/经济/投资/财会,15-50
156,数据分析实习生实习招聘-1药网实习生招聘-实习僧," 
                        1药网
                         “”",120-150/天,上海,不限,5天／周,实习3个月,互联网/游戏/软件,500-2000
157,数据分析实习生实习招聘-西安点扣软件科技实习生招聘-实习僧," 
                        西安点扣软件科技
                         “”",100-180/天,西安,本科,5天／周,实习3个月,互联网/游戏/软件,150-500
158,数据分析实习生实习招聘-宠物家实习生招聘-实习僧," 
                        宠物家
                         “”",150-200/天,北京,本科,5天／周,实习3个月,不限,500-2000
159,数据分析实习生实习招聘-HYPERS实习生招聘-实习僧," 
                        HYPERS
                         “”",200/天,上海,本科,5天／周,实习6个月,互联网/游戏/软件,150-500
160,数据分析实习生实习招聘-爱回收实习生招聘-实习僧," 
                        爱回收
                         “”",150-180/天,北京,不限,4天／周,实习3个月,互联网/游戏/软件,2000以上
161,数据分析实习生实习招聘-TESLA-特斯拉实习生招聘-实习僧," 
                        TESLA-特斯拉
                         “”",250-300/天,上海,硕士,5天／周,实习3个月,汽车/机械/制造,2000以上
162,数据分析实习生实习招聘-亚信科技实习生招聘-实习僧," 
                        亚信科技
                         “”",100-150/天,长沙,本科,5天／周,实习4个月,互联网/游戏/软件,2000以上
163,数据分析实习生实习招聘-哔哩哔哩实习生招聘-实习僧," 
                        哔哩哔哩
                         “”",150-200/天,上海,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
164,数据分析实习生实习招聘-西部证券实习生招聘-实习僧," 
                        西部证券
                         “”",50-80/天,上海,硕士,5天／周,实习3个月,金融/经济/投资/财会,15-50
165,数据分析实习生实习招聘-蓝深科技实习生招聘-实习僧," 
                        蓝深科技
                         “”",150-250/天,广州,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000
166,实习生（数据分析财务）实习招聘-江森自控实习生招聘-实习僧," 
                        江森自控
                         “”",120-150/天,上海,本科,3天／周,实习3个月,电子/通信/硬件,2000以上
167,风控数据分析实习生实习招聘-随训通实习生招聘-实习僧," 
                        随训通
                         “”",400-500/天,全国,本科,3天／周,实习3个月,互联网/移动互联网/电子商务,2000以上
168,数据分析实习生实习招聘-IDC咨询实习生招聘-实习僧," 
                        IDC咨询
                         “”",100-150/天,北京,本科,3天／周,实习3个月,电子/通信/硬件,150-500
169,市场部数据分析实习生实习招聘-泛亚气体实习生招聘-实习僧," 
                        泛亚气体
                         “”",180-250/天,无锡,本科,4天／周,实习6个月,汽车/机械/制造,150-500
170,数据分析实习生实习招聘-秒针系统实习生招聘-实习僧," 
                        秒针系统
                         “”",180/天,广州,本科,4天／周,实习3个月,互联网/游戏/软件,150-500
171,数据分析实习生实习招聘-美图秀秀实习生招聘-实习僧," 
                        美图秀秀
                         “”",180-200/天,厦门,不限,5天／周,实习3个月,互联网/游戏/软件,500-2000
172,产品运营与数据分析实习生实习招聘-如祺出行实习生招聘-实习僧," 
                        如祺出行
                         “”",100-150/天,广州,不限,5天／周,实习3个月,互联网/游戏/软件,15-50
173,数据分析实习生实习招聘-奕睿基金实习生招聘-实习僧," 
                        奕睿基金
                         “”",200-400/天,上海,本科,5天／周,实习3个月,金融/经济/投资/财会,少于15
174,数据分析实习生-（数据平台）实习招聘-快手实习生招聘-实习僧," 
                        快手
                         “”",300-400/天,北京,本科,5天／周,实习5个月,互联网/游戏/软件,2000以上
175,数据分析实习生-信贷分析组-北京实习招聘-滴滴实习生招聘-实习僧," 
                        滴滴
                         “”",200-300/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
176,数据分析实习生（业务分析方向）实习招聘-莉莉丝游戏实习生招聘-实习僧," 
                        莉莉丝游戏
                         “”",250-300/天,上海,不限,5天／周,实习4个月,互联网/游戏/软件,500-2000
177,自动驾驶数据分析实习生实习招聘-上海人工智能实验室实习生招聘-实习僧," 
                        上海人工智能实验室
                         “”",300-400/天,上海,不限,4天／周,实习3个月,互联网/游戏/软件,150-500
